time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443349642	0.001	0.001	0	0	0	lidar	0	0	0	0	0	0	0
1477010443349642	0.001	0.001	0	0	0	radar	0	0	0	0	0	0	0
1477010444349642	1.54784	-0.135432	1.54684	-5.55112e-17	0	lidar	0.822589	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339
1477010444349642	1.61925	0.0205134	2.46315	-0.0288463	-0.0157343	radar	2.54498	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339
1477010445349642	3.88516	-0.12871	3.21581	-0.194868	-0.161081	lidar	0.460033	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323
1477010445349642	3.95481	0.0736267	3.60659	0.122968	0.0205607	radar	4.08051	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323
1477010446349642	6.86016	0.416476	4.29181	0.130032	0.0196017	lidar	0.254476	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847
1477010446349642	6.77313	0.441768	3.03404	0.167219	0.0108771	radar	2.01985	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847
1477010447349642	9.078	0.595944	2.89996	0.0139227	-0.0982375	lidar	0.03776	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526
1477010447349642	9.04389	0.66489	2.93801	0.0640903	-0.0592404	radar	1.20446	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526
1477010448349642	11.5709	1.65737	3.43167	0.963839	0.549331	lidar	0.583292	11.5756	1.6669	11.3468	1.427	2.49328	0.600781
1477010448349642	11.5454	1.6169	3.62914	0.879432	0.475228	radar	0.54873	11.4447	1.42958	11.3468	1.427	2.49328	0.600781
1477010449349642	13.5906	2.32959	1.1913	0.47931	-0.00541184	lidar	1.82691	13.5921	2.31191	13.827	2.07905	2.5429	0.724947
1477010449349642	13.6239	2.33877	2.45291	0.267548	-0.158389	radar	3.34286	13.6572	1.99915	13.827	2.07905	2.5429	0.724947
1477010450349642	16.6277	2.903	4.04467	0.0159429	-0.213344	lidar	0.804127	16.6456	2.903	16.3554	2.85243	2.58284	0.844365
1477010450349642	16.5338	2.87893	3.10842	-0.0251561	-0.291937	radar	2.09252	16.282	2.84648	16.3554	2.85243	2.58284	0.844365
1477010451349642	19.013	3.6933	2.704	0.342899	0.121489	lidar	0.739305	19.0106	3.70555	18.923	3.74161	2.61382	0.95648
1477010451349642	19.0796	3.71565	2.67351	0.375458	0.149788	radar	1.33172	19.363	3.87122	18.923	3.74161	2.61382	0.95648
1477010452349642	21.3279	4.73206	2.95746	0.470235	0.114498	lidar	0.0298276	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891
1477010452349642	21.3833	4.74204	3.02598	0.462444	0.111187	radar	0.752712	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891
1477010453349642	24.0711	5.57359	3.39837	0.21581	-0.113977	lidar	0.265891	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953
1477010453349642	24.1623	5.59894	3.29193	0.188986	-0.134138	radar	3.02609	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953
1477010454349642	26.6099	6.95186	3.02498	0.587886	0.203698	lidar	0.48148	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647
1477010454349642	26.5996	6.94557	3.21962	0.567104	0.174666	radar	0.10139	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647
1477010455349642	29.5745	8.09144	3.81593	0.267009	-0.131325	lidar	0.548057	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822
1477010455349642	29.5376	8.07353	3.28628	0.244181	-0.150697	radar	0.700896	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822
1477010456349642	31.9466	9.86794	3.12404	0.786532	0.290961	lidar	0.795684	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358
1477010456349642	31.9039	9.84501	3.20823	0.761028	0.256937	radar	0.696511	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358
1477010457349642	34.6054	10.712	2.63951	0.20189	-0.269379	lidar	1.31843	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617
1477010457349642	34.7134	10.7615	3.04866	0.197272	-0.255279	radar	2.59987	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617
1477010458349642	37.1428	12.0759	2.99925	0.573782	0.145575	lidar	0.657245	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209
1477010458349642	37.2212	12.1015	3.22744	0.568936	0.135064	radar	1.47976	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209
1477010459349642	40.315	13.4675	4.15568	0.311084	-0.119004	lidar	0.561896	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459
1477010459349642	40.2219	13.4286	3.27264	0.2744	-0.152022	radar	2.18011	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459
1477010460349642	42.7689	14.8215	3.24609	0.560207	0.128076	lidar	0.316258	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938
1477010460349642	42.7451	14.815	3.2973	0.553464	0.118859	radar	0.192526	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938
1477010461349642	45.3517	16.5508	3.79795	0.598113	0.0708232	lidar	0.0870383	45.3572	16.5524	45.4265	16.3307	2.64546	1.29701
1477010461349642	45.3832	16.5621	3.44314	0.618414	0.134906	radar	1.00713	45.649	16.5213	45.4265	16.3307	2.64546	1.29701
1477010462349642	48.1509	17.2932	2.97098	0.166792	-0.236276	lidar	0.612274	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832
1477010462349642	48.1266	17.2871	2.91637	0.169502	-0.235812	radar	0.17306	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832
1477010463349642	50.6214	19.0521	3.1987	0.858157	0.357351	lidar	1.50815	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454
1477010463349642	50.6018	19.0375	3.30175	0.819422	0.30719	radar	0.230961	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454
1477010464349642	53.71	19.9144	2.7792	0.0982721	-0.364653	lidar	2.34331	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716
1477010464349642	53.6795	19.9129	2.85476	0.132425	-0.318907	radar	0.383492	53.5277	19.862	53.3577	19.9486	2.59372	1.07716
1477010465349642	56.0341	21.0757	2.74738	0.532463	0.144344	lidar	0.961366	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022
1477010465349642	56.0046	21.0613	2.79692	0.509613	0.121784	radar	0.339901	55.867	20.985	55.9669	20.9874	2.56561	0.978022
1477010466349642	58.6533	21.7895	3.20125	0.139856	-0.194743	lidar	0.485306	58.6632	21.7821	58.5484	21.9225	2.53033	0.869205
1477010466349642	58.6486	21.7862	3.04937	0.121599	-0.218799	radar	0.0483616	58.5799	21.9815	58.5484	21.9225	2.53033	0.869205
1477010467349642	60.8779	22.7773	2.5264	0.442377	0.125473	lidar	0.57279	60.8722	22.7876	61.0941	22.7449	2.48697	0.753031
1477010467349642	60.861	22.7654	2.73974	0.411408	0.0969221	radar	0.328942	60.7648	22.6398	61.0941	22.7449	2.48697	0.753031
1477010468349642	63.3758	23.4122	3.06117	0.179372	-0.113117	lidar	0.213299	63.3821	23.4069	63.5955	23.4479	2.43482	0.631987
1477010468349642	63.4507	23.4359	2.7506	0.138196	-0.16339	radar	2.18831	63.7478	23.7442	63.5955	23.4479	2.43482	0.631987
1477010469349642	66.3304	23.9891	3.71168	0.220428	-0.00701511	lidar	0.384589	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655
1477010469349642	66.2087	23.9498	2.60099	0.217388	-0.0630998	radar	3.31527	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655
1477010470349642	68.2639	24.3575	2.43881	0.208731	-0.029218	lidar	0.0118126	68.262	24.3582	68.4273	24.4824	2.30293	0.385623
1477010470349642	68.353	24.3897	2.63374	0.217909	-0.0215127	radar	1.98793	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623
1477010471349642	70.8226	24.8826	3.10882	0.214911	-0.00957615	lidar	0.0695532	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395
1477010471349642	70.7752	24.8639	2.4612	0.204237	-0.0418701	radar	0.729453	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395
1477010472349642	72.8921	24.7206	2.38825	-0.142073	-0.231739	lidar	0.148869	72.8923	24.7135	72.9675	25.025	2.13584	0.150292
1477010472349642	72.9425	24.7386	2.47208	-0.136581	-0.228789	radar	0.672832	73.0732	25.0343	72.9675	25.025	2.13584	0.150292
1477010473349642	74.9998	25.2441	2.21121	0.320179	0.194137	lidar	0.811841	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626
1477010473349642	74.9843	25.2414	2.14103	0.319239	0.194461	radar	0.0412664	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626
1477010474349642	77.1147	24.9504	2.23525	-0.335726	-0.331338	lidar	1.11383	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978
1477010474349642	77.1363	24.9545	2.16958	-0.3622	-0.368027	radar	0.188768	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978
1477010475349642	79.0977	25.0143	2.00107	0.0805581	0.142593	lidar	1.40028	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607
1477010475349642	79.0985	25.0213	1.92829	0.0793938	0.133469	radar	0.0667769	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607
